freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,CZ08,80.8,2022
A,YR,Y_LT1,F,CZ08,82,2023
A,YR,Y_LT1,F,DE11,84.1,2012
A,YR,Y_LT1,F,DE11,84.1,2013
A,YR,Y_LT1,F,DE11,84.7,2014
A,YR,Y_LT1,F,DE11,84,2015
A,YR,Y_LT1,F,DE11,84.5,2016
A,YR,Y_LT1,F,DE11,84.4,2017
A,YR,Y_LT1,F,DE11,84.4,2018
A,YR,Y_LT1,F,DE11,84.7,2019
A,YR,Y_LT1,F,DE11,84.6,2020
A,YR,Y_LT1,F,DE11,84.5,2021
A,YR,Y_LT1,F,DE11,84,2022
A,YR,Y_LT1,F,DE11,84.7,2023
A,YR,Y_LT1,F,DE12,83.7,2012
A,YR,Y_LT1,F,DE12,83.7,2013
A,YR,Y_LT1,F,DE12,84,2014
A,YR,Y_LT1,F,DE12,83.4,2015
A,YR,Y_LT1,F,DE12,83.9,2016
A,YR,Y_LT1,F,DE12,83.8,2017
A,YR,Y_LT1,F,DE12,83.8,2018
A,YR,Y_LT1,F,DE12,84,2019
A,YR,Y_LT1,F,DE12,84,2020
A,YR,Y_LT1,F,DE12,84.1,2021
A,YR,Y_LT1,F,DE12,83.7,2022
A,YR,Y_LT1,F,DE12,84.1,2023
A,YR,Y_LT1,F,DE13,84.3,2012
A,YR,Y_LT1,F,DE13,84,2013
A,YR,Y_LT1,F,DE13,84.2,2014
A,YR,Y_LT1,F,DE13,83.8,2015
A,YR,Y_LT1,F,DE13,84.3,2016
A,YR,Y_LT1,F,DE13,84.2,2017
A,YR,Y_LT1,F,DE13,84.2,2018
A,YR,Y_LT1,F,DE13,84.4,2019
A,YR,Y_LT1,F,DE13,84.3,2020
A,YR,Y_LT1,F,DE13,84.3,2021
A,YR,Y_LT1,F,DE13,84.1,2022
A,YR,Y_LT1,F,DE13,84.2,2023
A,YR,Y_LT1,F,DE14,84.2,2012
A,YR,Y_LT1,F,DE14,84.3,2013
A,YR,Y_LT1,F,DE14,84.8,2014
A,YR,Y_LT1,F,DE14,84.1,2015
A,YR,Y_LT1,F,DE14,84.3,2016
A,YR,Y_LT1,F,DE14,84.5,2017
A,YR,Y_LT1,F,DE14,84.6,2018
A,YR,Y_LT1,F,DE14,84.6,2019
A,YR,Y_LT1,F,DE14,84.7,2020
